plant,phase,toal_water_production,day,value
Al-Jubail,MSF-Phase2,Desal08,2022-05-18,13120
Al-Jubail,MSF-Phase2,Desal08,2022-05-19,27262
Al-Jubail,MSF-Phase2,Desal08,2022-05-20,27108
Al-Jubail,MSF-Phase2,Desal08,2022-05-21,27995
Al-Jubail,MSF-Phase2,Desal08,2022-05-22,27953
Al-Jubail,MSF-Phase2,Desal08,2022-05-23,27837
Al-Jubail,MSF-Phase2,Desal08,2022-05-24,27772
Al-Jubail,MSF-Phase2,Desal08,2022-05-25,27599
Al-Jubail,MSF-Phase2,Desal08,2022-05-26,27509
Al-Jubail,MSF-Phase2,Desal08,2022-05-27,27552
Al-Jubail,MSF-Phase2,Desal08,2022-05-28,27625
Al-Jubail,MSF-Phase2,Desal08,2022-05-29,20481
Al-Jubail,MSF-Phase2,Desal08,2022-05-30,22
Al-Jubail,MSF-Phase2,Desal08,2022-05-31,0
Al-Jubail,MSF-Phase2,Desal09,2022-05-01,28531
Al-Jubail,MSF-Phase2,Desal09,2022-05-02,28384
Al-Jubail,MSF-Phase2,Desal09,2022-05-03,28348
Al-Jubail,MSF-Phase2,Desal09,2022-05-04,28325
Al-Jubail,MSF-Phase2,Desal09,2022-05-05,28170
Al-Jubail,MSF-Phase2,Desal09,2022-05-06,28209
Al-Jubail,MSF-Phase2,Desal09,2022-05-07,28355
Al-Jubail,MSF-Phase2,Desal09,2022-05-08,28598
Al-Jubail,MSF-Phase2,Desal09,2022-05-09,29256
Al-Jubail,MSF-Phase2,Desal09,2022-05-10,29275
Al-Jubail,MSF-Phase2,Desal09,2022-05-11,29147
Al-Jubail,MSF-Phase2,Desal09,2022-05-12,28881
Al-Jubail,MSF-Phase2,Desal09,2022-05-13,28872
Al-Jubail,MSF-Phase2,Desal09,2022-05-14,29195
Al-Jubail,MSF-Phase2,Desal09,2022-05-15,23712
Al-Jubail,MSF-Phase2,Desal09,2022-05-16,3
Al-Jubail,MSF-Phase2,Desal09,2022-05-17,2
Al-Jubail,MSF-Phase2,Desal09,2022-05-18,16555
Al-Jubail,MSF-Phase2,Desal09,2022-05-19,29408
Al-Jubail,MSF-Phase2,Desal09,2022-05-20,29320
Al-Jubail,MSF-Phase2,Desal09,2022-05-21,29331
Al-Jubail,MSF-Phase2,Desal09,2022-05-22,29489
Al-Jubail,MSF-Phase2,Desal09,2022-05-23,29747
Al-Jubail,MSF-Phase2,Desal09,2022-05-24,29722
Al-Jubail,MSF-Phase2,Desal09,2022-05-25,29738
Al-Jubail,MSF-Phase2,Desal09,2022-05-26,29670
Al-Jubail,MSF-Phase2,Desal09,2022-05-27,29577
Al-Jubail,MSF-Phase2,Desal09,2022-05-28,29540
Al-Jubail,MSF-Phase2,Desal09,2022-05-29,22723
Al-Jubail,MSF-Phase2,Desal09,2022-05-30,0
Al-Jubail,MSF-Phase2,Desal09,2022-05-31,17496
Al-Jubail,MSF-Phase2,Desal10,2022-05-01,28009
Al-Jubail,MSF-Phase2,Desal10,2022-05-02,27840
Al-Jubail,MSF-Phase2,Desal10,2022-05-03,27718
Al-Jubail,MSF-Phase2,Desal10,2022-05-04,27606
Al-Jubail,MSF-Phase2,Desal10,2022-05-05,27724
Al-Jubail,MSF-Phase2,Desal10,2022-05-06,27699
Al-Jubail,MSF-Phase2,Desal10,2022-05-07,27778
Al-Jubail,MSF-Phase2,Desal10,2022-05-08,28130
Al-Jubail,MSF-Phase2,Desal10,2022-05-09,28308
Al-Jubail,MSF-Phase2,Desal10,2022-05-10,28291
Al-Jubail,MSF-Phase2,Desal10,2022-05-11,28199
Al-Jubail,MSF-Phase2,Desal10,2022-05-12,28071
Al-Jubail,MSF-Phase2,Desal10,2022-05-13,28096
Al-Jubail,MSF-Phase2,Desal10,2022-05-14,28350
Al-Jubail,MSF-Phase2,Desal10,2022-05-15,22380
